Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
0;0;0;0;;-3,4921875
0,999;0;1;1;536,133876753132;-3,4921875
1,999;0;2;2;633,439975717468;-2,71614583333333
2,999;1;3;3;625,872642907032;-3,4921875
3,999;5;4;4;597,693862805331;-3,4921875
4,999;2;5;5;581,542521017858;-3,4921875
5,999;7;6;6;657,289557700752;-3,4921875
6,999;14;7;7;610,712655032184;-3,4921875
7,998;45;8;8;607,104786286113;-3,4921875
8,999;120;9;9;601,803511153608;-3,4921875
9,998;202;10;10;585,598423028493;-3,4921875
10,999;184;11;11;624,9990000016;-3,4921875
11,998;227;12;12;581,687844988626;-3,4921875
12,999;203;13;13;600,917179891669;-3,4921875
13,999;226;14;14;598,31965072516;-3,10416666666667
14,999;233;15;15;608,803115294423;-3,10416666666667
16;264;16;16;619,998822002238;-2,71614583333333
16,998;265;17;17;589,76579744888;-3,10416666666667
17,999;278;18;18;632,46619082926;-3,4921875
18,999;288;19;19;644,237286365917;-3,4921875
19,999;295;20;20;594,739325753522;-3,10416666666667
20,999;303;21;21;604,088680218256;-3,4921875
21,998;308;22;22;641,758698729278;-3,4921875
22,999;284;23;23;625,413398256247;-3,4921875
23,999;286;24;24;645,548438867013;-3,10416666666667
24,999;348;25;25;639,237412775105;-3,4921875
25,999;338;26;26;627,384963413551;-3,10416666666667
26,999;324;27;27;592,13077091427;-3,4921875
28;303;28;28;642,810370940573;-3,4921875
28,998;321;29;29;595,734182806891;-2,328125
29,999;317;30;30;603,98326966343;-3,4921875
30,999;322;31;31;637,693284834633;-3,4921875
31,999;327;32;32;688,433732090452;-3,4921875
32,998;345;33;33;607,071148738632;-3,4921875
33,999;349;34;34;610,858464093869;-3,10416666666667
34,998;348;35;35;576,207204110598;-3,4921875
35,998;334;36;36;614,959113544208;-3,4921875
36,998;298;37;37;635,820792026674;-3,10416666666667
37,998;360;38;38;601,654007030728;-3,10416666666667
38,998;328;39;39;631,974910596049;-3,4921875
39,999;348;40;40;659,965608458848;-3,4921875
40,999;313;41;41;630,988569792294;-3,10416666666667
41,998;359;42;42;618,794007141127;-3,10416666666667
42,999;338;43;43;611,790569986732;-3,10416666666667
43,999;358;44;44;588,166627605601;-3,4921875
44,998;337;45;45;659,797002455578;-3,4921875
45,999;347;46;46;652,208380911027;-3,4921875
46,999;336;47;47;639,708356960062;-3,4921875
47,999;334;48;48;619,897283020204;-3,10416666666667
48,999;312;49;49;662,085740103343;-3,4921875
49,999;322;50;50;652,917405948148;-3,4921875
50,998;346;51;51;613,187206054008;-3,4921875
51,999;338;52;52;627,311754845234;-3,4921875
52,999;328;53;53;636,005596849252;-2,71614583333333
53,999;340;54;54;666,052018662658;-3,4921875
54,999;370;55;55;684,051987951084;-3,4921875
55,999;315;56;56;629,023777098774;-3,4921875
56,999;358;57;57;636,246481887083;-3,4921875
57,999;342;58;58;676,209098510008;-3,4921875
58,999;356;59;59;636,959133062566;-3,4921875
59,998;358;60;60;619,521729225038;-3,4921875
60,999;344;61;61;610,840169560346;-3,4921875
61,998;318;62;62;620,35192564742;-3,4921875
62,999;360;63;63;613,490362847024;-3,4921875
63,999;362;64;64;606,844249041336;-3,10416666666667
64,998;357;65;65;618,712487084238;-3,4921875
65,999;364;66;66;633,092874724722;-3,10416666666667
66,999;354;67;67;592,14557226759;-3,4921875
67,999;363;68;68;604,958741813808;-3,4921875
68,999;351;69;69;607,256019137668;-3,10416666666667
69,998;360;70;70;579,618510912995;-3,4921875
70,998;333;71;71;582,657515355245;-3,4921875
71,999;355;72;72;602,740527011486;-2,71614583333333
72,999;356;73;73;667,782003119718;-3,4921875
73,999;376;74;74;617,330456993629;-3,4921875
74,999;369;75;75;548,949386866531;-3,4921875
75,999;355;76;76;534,094731083303;-3,4921875
76,999;385;77;77;601,083661623897;-3,4921875
77,998;376;78;78;567,368278749737;-3,4921875
78,999;379;79;79;642,529026223778;-2,71614583333333
79,999;343;80;80;591,097412853638;-3,4921875
80,999;386;81;81;593,029295647205;-3,4921875
81,998;361;82;82;638,129923252374;-3,4921875
82,999;376;83;83;602,452948757549;-3,10416666666667
83,999;374;84;84;585,961949761753;-3,4921875
84,999;384;85;85;625,701787124439;-2,71614583333333
85,998;364;86;86;603,062960106219;-3,4921875
86,999;400;87;87;601,177347317459;-3,4921875
87,999;409;88;88;571,036146588079;-3,4921875
88,998;344;89;89;599,828915463778;-3,4921875
89,999;358;90;90;595,537292411922;-3,10416666666667
90,999;366;91;91;583,168885709301;-3,4921875
91,999;370;92;92;584,368239496281;-3,10416666666667
92,999;415;93;93;549,653372964443;-3,4921875
93,999;403;94;94;591,707932964289;-3,4921875
94,999;365;95;95;565,220096705657;-3,4921875
95,999;371;96;96;601,186247499475;-3,4921875
96,999;364;97;97;598,515215889102;-3,4921875
97,999;390;98;98;614,39658977673;-3,10416666666667
98,999;388;99;99;560,664946405982;-3,4921875
99,999;366;100;100;588,370137539288;-3,4921875
100,998;344;101;101;572,407813499772;-3,4921875
101,998;377;102;102;653,336533648482;-3,10416666666667
102,998;374;103;103;605,515591526515;-3,10416666666667
103,999;347;104;104;640,746597491205;-3,10416666666667
104,999;371;105;105;588,81888486591;-3,4921875
105,999;331;106;106;592,14987313289;-3,10416666666667
106,999;374;107;107;621,084266468927;-3,10416666666667
107,999;390;108;108;653,141644577394;-3,4921875
