Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
0;0;0;0;;-3,4921875
0,999;0;1;1;203,013886149813;-3,10416666666667
1,999;0;2;2;222,13463580276;-2,71614583333333
2,999;0;3;3;220,908415367322;-3,10416666666667
4;0;4;4;191,077884790034;-3,10416666666667
4,999;1;5;5;208,308317140199;-3,10416666666667
5,998;0;6;6;205,379112078379;-3,4921875
7;4;7;7;211,037130872455;-3,4921875
8;17;8;8;222,14982606224;-3,4921875
8,999;64;9;9;178,202170362276;-3,4921875
9,999;90;10;10;192,09550322193;-3,4921875
10,999;96;11;11;228,999793900186;-3,4921875
11,999;126;12;12;221,911923157699;-3,4921875
12,999;120;13;13;215,307092506041;-3,4921875
13,999;140;14;14;217,265345390378;-3,10416666666667
14,999;153;15;15;213,219274702104;-3,10416666666667
15,999;210;16;16;224,393581899214;-3,4921875
16,999;203;17;17;229,10901006699;-3,4921875
17,999;247;18;18;206,971189610406;-3,4921875
19;262;19;19;193,230277185501;-3,4921875
19,999;304;20;20;207,737222855494;-3,4921875
20,999;287;21;21;198,96418644644;-3,10416666666667
21,999;242;22;22;221,480058025771;-2,71614583333333
22,999;212;23;23;233,075758722638;-3,4921875
24;218;24;24;225,112826548666;-3,4921875
24,998;203;25;25;250,870080712453;-3,4921875
25,998;207;26;26;207,947742732251;-3,4921875
26,999;188;27;27;211,321589194436;-3,4921875
28;174;28;28;223,167718090097;-3,4921875
28,999;200;29;29;224,197851718427;-3,4921875
30;194;30;30;215,248396649734;-3,4921875
31;262;31;31;217,810417812336;-3,4921875
31,999;232;32;32;214,923444269151;-3,4921875
33;269;33;33;217,765728074158;-3,4921875
34;307;34;34;217,932157719302;-3,4921875
34,999;332;35;35;208,121938643851;-3,10416666666667
36;352;36;36;222,24769505614;-3,4921875
36,999;337;37;37;228,739785619879;-3,10416666666667
37,999;294;38;38;192,204325863881;-3,4921875
38,999;272;39;39;226,228536067135;-3,4921875
39,999;273;40;40;214,134369316746;-3,4921875
40,999;262;41;41;219,842329081583;-3,4921875
41,999;263;42;42;242,205729546677;-3,4921875
42,999;281;43;43;207,366845811661;-3,10416666666667
43,999;252;44;44;200,827587186357;-3,10416666666667
44,999;298;45;45;194,018412347332;-3,10416666666667
45,999;279;46;46;223,219813656988;-3,4921875
46,999;326;47;47;199,012657204998;-3,4921875
48;327;48;48;195,227283603571;-3,4921875
48,999;385;49;49;216,286531072389;-3,4921875
49,999;425;50;50;208,30664821684;-2,71614583333333
50,999;516;51;51;220,928893868979;-3,4921875
51,999;599;52;52;212,208782332674;-3,4921875
52,999;707;53;53;223,308769368703;-3,10416666666667
53,998;695;54;54;206,623574172364;-3,4921875
55;702;55;55;203,331955194526;-3,10416666666667
55,999;678;56;56;214,367438896672;-3,4921875
56,999;630;57;57;198,87472458906;-3,4921875
57,999;578;58;58;223,15255496908;-3,4921875
58,999;533;59;59;229,804390502804;-3,10416666666667
59,999;451;60;60;189,024970198563;-3,4921875
60,999;455;61;61;205,947112781438;-3,10416666666667
61,999;386;62;62;220,111046022718;-3,10416666666667
62,999;372;63;63;196,655195113618;-3,4921875
63,998;373;64;64;216,125006703878;-3,4921875
65;323;65;65;218,143996852322;-3,4921875
66;282;66;66;255,565564097591;-3,4921875
66,998;301;67;67;203,053362423645;-3,10416666666667
67,999;278;68;68;204,177389315838;-3,4921875
69;264;69;69;193,282564446405;-3,10416666666667
69,999;236;70;70;205,383968659961;-3,4921875
70,998;279;71;71;214,176867256981;-3,10416666666667
71,999;242;72;72;197,758946731406;-3,10416666666667
72,999;202;73;73;178,79150711468;-3,10416666666667
73,999;220;74;74;202,180573024179;-3,4921875
74,999;218;75;75;225,505493336035;-2,71614583333333
75,999;229;76;76;253,104684097343;-3,10416666666667
77;252;77;77;210,293801470034;-3,4921875
77,999;221;78;78;248,637157580015;-3,10416666666667
78,999;249;79;79;234,194756359388;-3,10416666666667
80;234;80;80;224,033914742008;-3,4921875
80,999;225;81;81;203,256773282064;-2,328125
81,999;231;82;82;209,181674284116;-3,4921875
82,999;262;83;83;206,189632605107;-3,4921875
83,999;245;84;84;215,912684910222;-3,10416666666667
84,999;241;85;85;202,127042843603;-3,10416666666667
85,999;221;86;86;198,005484751928;-3,4921875
86,999;246;87;87;227,152669309043;-3,4921875
87,999;241;88;88;216,443297183973;-3,10416666666667
88,999;231;89;89;170,025129714172;-3,10416666666667
89,999;223;90;90;216,012118279836;-2,71614583333333
90,999;227;91;91;195,34267011191;-3,4921875
91,999;216;92;92;191,819167524771;-3,4921875
92,999;229;93;93;198,183141040636;-3,10416666666667
93,999;251;94;94;211,085569757171;-3,4921875
94,998;218;95;95;196,314326076765;-3,10416666666667
95,999;230;96;96;238,366488476032;-3,4921875
96,999;242;97;97;226,907557860927;-3,10416666666667
97,999;232;98;98;228,912097754462;-3,4921875
98,999;213;99;99;200,067662883587;-3,4921875
99,999;266;100;100;223,777319189674;-2,71614583333333
101;210;101;101;222,141570823086;-3,4921875
101,999;202;102;102;206,057077810554;-3,4921875
102,999;207;103;103;223,043002690919;-3,4921875
103,999;218;104;104;212,153705359533;-3,4921875
104,999;210;105;105;176,639209082944;-3,10416666666667
105,999;213;106;106;225,021828780115;-2,71614583333333
106,999;208;107;107;204,436902103485;-3,4921875
108;216;108;108;216,406545998377;-3,4921875
108,999;214;109;109;188,282404778928;-3,4921875
109,999;224;110;110;193,209292967248;-3,4921875
110,999;192;111;111;223,993974562084;-3,4921875
112;204;112;112;190,908112151856;-3,4921875
112,999;192;113;113;223,423499242815;-3,4921875
113,999;196;114;114;210,890636666623;-3,4921875
114,999;226;115;115;217,775914583842;-3,4921875
115,999;227;116;116;209,001588412072;-2,71614583333333
117;208;117;117;195,409736467765;-3,4921875
118;221;118;118;215,292173007989;-3,4921875
118,999;228;119;119;205,346034152042;-3,4921875
119,999;203;120;120;210,931658142762;-3,4921875
121;236;121;121;207,931361857451;-2,328125
121,999;224;122;122;199,361801797903;-3,4921875
122,999;248;123;123;196,794113997935;-3,4921875
124;235;124;124;214,971602251343;-3,10416666666667
124,999;236;125;125;235,377766882304;-3,10416666666667
125,999;212;126;126;212,277786711691;-3,4921875
126,999;177;127;127;192,88531039444;-3,4921875
127,999;199;128;128;203,335483213754;-3,4921875
128,999;179;129;129;201,837139386621;-3,10416666666667
129,998;187;130;130;191,077730420735;-3,4921875
130,999;157;131;131;238,072374001697;-3,4921875
132;159;132;132;207,518287687818;-3,10416666666667
132,999;182;133;133;231,364908734055;-3,4921875
133,999;180;134;134;232,178959542761;-2,71614583333333
135;161;135;135;242,094423266118;-3,4921875
136;158;136;136;205,314972033881;-3,4921875
136,999;145;137;137;193,865573611258;-3,4921875
138;137;138;138;216,377275417418;-3,4921875
139;150;139;139;220,890809343925;-3,4921875
