Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Spannung U_A / V;Rate R_A / 1/s
0;0;0;0;-2,71614583333333;
0,999;0;1;1;-3,10416666666667;86,6561523868437
2;0;2;2;-3,4921875;68,818961177781
2,999;0;3;3;-3,10416666666667;72,801085593832
3,999;0;4;4;-3,4921875;72,2231478599429
4,999;0;5;5;-3,4921875;69,9640773331826
5,999;0;6;6;-3,4921875;76,115566264259
7;0;7;7;-3,4921875;61,1034663885385
7,999;2;8;8;-3,4921875;69,8791478958889
8,999;9;9;9;-3,4921875;64,9234811850753
9,999;11;10;10;-3,10416666666667;69,16816856824
10,999;8;11;11;-3,4921875;95,4647473664218
11,999;15;12;12;-3,4921875;58,8430109546812
12,999;18;13;13;-3,10416666666667;77,7637025476167
13,999;18;14;14;-3,4921875;73,257040195805
14,999;15;15;15;-3,4921875;62,0419403516777
16;25;16;16;-3,4921875;77,7732323644196
17;13;17;17;-3,4921875;80,002320067282
18,001;19;18;18;-3,4921875;66,6559350611218
19;11;19;19;-3,4921875;64,4426257303405
20;19;20;20;-3,4921875;69,9978300672679
21;17;21;21;-3,4921875;64,0657955720525
21,999;17;22;22;-3,4921875;69,9163101767185
23;25;23;23;-3,10416666666667;65,508876841424
23,999;18;24;24;-3,4921875;61,9352281384128
25;24;25;25;-3,4921875;49,101532148176
25,999;24;26;26;-3,10416666666667;71,9465868539196
26,999;24;27;27;-3,4921875;58,8781338164451
27,999;23;28;28;-3,4921875;86,9633362574339
28,999;25;29;29;-3,4921875;67,9972257131909
29,999;24;30;30;-3,10416666666667;75,0835304276007
30,999;37;31;31;-3,4921875;71,0348781251595
31,999;31;32;32;-3,4921875;81,1042893392189
33;31;33;33;-3,4921875;61,0398956758137
33,999;25;34;34;-3,10416666666667;73,2561539054077
34,999;22;35;35;-3,4921875;77,6512752225208
36;38;36;36;-3,4921875;61,0490895729256
37;40;37;37;-2,71614583333333;77,7640481030627
37,999;37;38;38;-3,4921875;60,043507525553
39;27;39;39;-3,10416666666667;59,956804453325
39,999;44;40;40;-3,4921875;62,0843353611546
41;47;41;41;-3,4921875;77,6338274097984
42;50;42;42;-3,4921875;77,9549887894729
42,998;57;43;43;-3,4921875;69,0888275055239
43,999;68;44;44;-3,4921875;69,0138027605521
44,999;56;45;45;-3,4921875;82,1445135124395
46;61;46;46;-3,10416666666667;66,6496413860504
47;60;47;47;-3,4921875;67,0808525515804
47,999;61;48;48;-3,10416666666667;63,2308010765654
48,999;69;49;49;-3,4921875;60,0793528091904
50;76;50;50;-2,71614583333333;55,9565217825749
51;67;51;51;-3,4921875;71,9454006354578
52;76;52;52;-3,4921875;59,9853968883797
53;60;53;53;-3,4921875;63,0187606850559
54;76;54;54;-3,4921875;68,1044654395377
54,999;83;55;55;-3,4921875;59,9719691016419
56;89;56;56;-3,4921875;64,9973676066119
56,999;66;57;57;-3,4921875;66,5868807863999
57,999;86;58;58;-3,4921875;62,1703583277417
58,999;84;59;59;-2,328125;67,0660600691681
59,999;72;60;60;-3,4921875;66,5860827096807
60,999;78;61;61;-3,4921875;63,9799486840824
62,001;79;62;62;-3,4921875;65,9976570831736
62,999;71;63;63;-3,10416666666667;67,0082353121199
63,999;84;64;64;-3,4921875;55,010875650116
64,998;92;65;65;-3,10416666666667;64,4356597161698
65,999;72;66;66;-3,10416666666667;57,7612452258109
66,999;69;67;67;-3,4921875;27,9967775709016
67,999;71;68;68;-3,4921875;24,0093876705792
68,998;96;69;69;-3,4921875;26,6354824357305
69,998;76;70;70;-3,4921875;29,0539357262823
70,999;73;71;71;-3,10416666666667;27,7495225972132
71,998;62;72;72;-3,10416666666667;26,6642876196713
