Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
0;0;0;0;;-3,10416666666667
0,998;1;1;1;1645,90236087052;-3,4921875
1,999;4;2;2;1754,08173821005;-3,4921875
2,998;7;3;3;1727,368391469;-3,4921875
3,999;10;4;4;1777,02769979491;-3,4921875
4,999;21;5;5;1781,39735027966;-3,4921875
5,999;42;6;6;1740,7289197428;-3,4921875
6,999;106;7;7;1730,43487659968;-3,4921875
7,999;281;8;8;1742,61540478017;-3,4921875
8,998;489;9;9;1721,00786925578;-3,4921875
9,999;732;10;10;1709,99761921877;-3,4921875
10,999;821;11;11;1712,9069793401;-3,4921875
11,998;850;12;12;1792,22766606103;-3,4921875
12,998;931;13;13;1738,56163001144;-3,4921875
13,998;940;14;14;1752,26564347155;-3,4921875
14,999;1031;15;15;1736,953797029;-3,4921875
15,999;1069;16;16;1715,99613575681;-3,10416666666667
16,999;1094;17;17;1734,54219745842;-3,4921875
17,999;1138;18;18;1772,1662291923;-3,4921875
18,998;1124;19;19;1751,00980905884;-3,4921875
19,998;1136;20;20;1722,99422891238;-3,4921875
20,999;1166;21;21;1763,47592019195;-3,4921875
21,998;1230;22;22;1789,24939838862;-3,10416666666667
22,998;1165;23;23;1735,21275463581;-3,4921875
23,999;1251;24;24;1741,82266284366;-3,4921875
24,999;1248;25;25;1763,83525778692;-3,4921875
25,998;1308;26;26;1698,02550316373;-3,4921875
26,999;1362;27;27;1709,32819101267;-3,4921875
27,999;1369;28;28;1721,55559763803;-3,4921875
29;1393;29;29;1771,1606469694;-3,4921875
29,999;1297;30;30;1727,12902424315;-3,4921875
30,999;1394;31;31;1762,20089090156;-3,4921875
31,999;1290;32;32;1765,64226512827;-3,4921875
32,999;1344;33;33;1759,99130828894;-3,10416666666667
33,999;1299;34;34;1664,57688286672;-3,4921875
34,999;1290;35;35;1811,35575026935;-3,4921875
35,998;1321;36;36;1730,59065058905;-3,4921875
36,999;1333;37;37;1836,40440428653;-3,4921875
37,999;1338;38;38;1766,15879789234;-3,4921875
38,999;1311;39;39;1740,19721273234;-3,4921875
39,999;1338;40;40;1730,9270558675;-3,4921875
40,998;1271;41;41;1785,12353054831;-3,4921875
41,999;1289;42;42;1768,8018784736;-3,4921875
42,999;1279;43;43;1756,53415726584;-3,4921875
43,999;1319;44;44;1715,89552587495;-3,4921875
44,998;1298;45;45;1806,68870753569;-3,4921875
45,999;1271;46;46;1745,1838421288;-3,4921875
46,999;1294;47;47;1699,69221356783;-3,4921875
47,999;1283;48;48;1709,91792393965;-3,4921875
48,999;1257;49;49;1807,5990383213;-3,4921875
49,999;1248;50;50;1726,40432722412;-3,4921875
50,998;1287;51;51;1702,1399231065;-3,4921875
51,999;1236;52;52;1672,66454351852;-3,4921875
52,999;1303;53;53;1745,37176418577;-3,4921875
53,999;1255;54;54;1710,98107654929;-3,4921875
54,999;1374;55;55;1796,62135188368;-3,4921875
55,999;1275;56;56;1680,21086646374;-3,4921875
56,999;1275;57;57;1768,54477657451;-3,4921875
57,999;1201;58;58;1760,11798890493;-3,4921875
58,999;1242;59;59;1735,50241742861;-3,4921875
59,999;1323;60;60;1673,24398484332;-3,4921875
60,999;1275;61;61;1748,40379340573;-3,4921875
61,999;1231;62;62;1782,20341007512;-3,10416666666667
62,999;1247;63;63;1706,88033802672;-3,4921875
63,998;1295;64;64;1702,70151302337;-3,4921875
64,998;1299;65;65;1704,82350130175;-2,71614583333333
65,999;1267;66;66;1756,46207903459;-3,4921875
66,999;1309;67;67;1751,51091417874;-3,4921875
67,998;1287;68;68;1755,72669527918;-3,4921875
68,999;1329;69;69;1753,59727523194;-3,4921875
69,999;1337;70;70;1548,6096926315;-3,4921875
70,998;1273;71;71;1761,27282116;-3,4921875
71,999;1347;72;72;1760,3946304965;-3,4921875
72,999;1356;73;73;1771,86759050848;-3,4921875
73,999;1313;74;74;1702,74356914797;-2,71614583333333
74,998;1373;75;75;1727,46848945434;-3,4921875
75,998;1446;76;76;1744,46989032959;-3,4921875
76,999;1347;77;77;1773,09835201746;-3,4921875
77,999;1381;78;78;1707,43688731456;-3,4921875
78,999;1446;79;79;1798,26974046107;-3,4921875
79,999;1473;80;80;1728,58142822321;-3,4921875
80,999;1399;81;81;1769,82810256919;-3,4921875
81,998;1406;82;82;1708,45626979568;-2,71614583333333
82,999;1430;83;83;1755,89497967114;-3,4921875
83,999;1463;84;84;1804,29729397625;-3,10416666666667
84,999;1475;85;85;1762,54312649829;-3,4921875
85,999;1528;86;86;1798,08334521549;-3,4921875
86,998;1505;87;87;1713,32944771386;-3,4921875
87,999;1428;88;88;1767,56809638618;-3,4921875
88,999;1443;89;89;1485,02925507633;-3,10416666666667
89,999;1518;90;90;1757,65610891602;-3,4921875
90,999;1498;91;91;1781,08558221777;-3,10416666666667
91,999;1469;92;92;1708,32798786621;-3,4921875
92,998;1444;93;93;1783,08893241102;-3,4921875
93,999;1512;94;94;1753,45238005342;-3,4921875
94,999;1506;95;95;1763,14399359111;-3,4921875
95,998;1523;96;96;1752,36544315331;-3,4921875
97;1483;97;97;1832,10578172143;-3,4921875
97,999;1555;98;98;1699,41728869412;-3,4921875
98,998;1580;99;99;1748,32219346833;-2,71614583333333
99,999;1506;100;100;1775,39705994647;-3,10416666666667
100,999;1484;101;101;1758,44846364077;-3,4921875
101,999;1517;102;102;1671,43701825409;-3,4921875
102,999;1500;103;103;1734,77680887206;-3,4921875
103,999;1566;104;104;1790,46534194237;-3,4921875
104,998;1573;105;105;1760,20104474579;-3,4921875
105,998;1614;106;106;1726,60344790504;-3,4921875
106,999;1584;107;107;1692,39029585181;-3,4921875
107,999;1627;108;108;1721,66335689141;-3,4921875
108,999;1668;109;109;1734,20069290261;-3,4921875
109,998;1710;110;110;1777,48454228623;-3,4921875
110,999;1794;111;111;1726,88536179803;-3,4921875
111,999;1706;112;112;1778,85217738406;-3,4921875
112,998;1846;113;113;1770,39179932088;-3,4921875
113,999;1855;114;114;1847,67500894707;-3,4921875
114,998;2049;115;115;1747,29144832466;-3,4921875
115,998;1942;116;116;1766,24210551252;-3,10416666666667
116,998;2043;117;117;1734,88913067947;-3,4921875
117,999;2253;118;118;1680,90197199817;-3,4921875
118,999;2280;119;119;1790,16888555435;-3,4921875
119,998;2356;120;120;1750,04477673171;-3,10416666666667
120,999;2405;121;121;1765,82732339757;-3,4921875
121,999;2412;122;122;1722,73750392543;-3,4921875
122,998;2501;123;123;1725,06801153223;-3,4921875
123,999;2427;124;124;1825,16637029441;-3,4921875
124,999;2521;125;125;1760,6940222605;-3,4921875
125,998;2504;126;126;1774,84470108865;-3,4921875
126,999;2450;127;127;1718,95126763151;-3,4921875
127,998;2404;128;128;1775,58375786146;-3,4921875
129;2339;129;129;1730,16384651627;-3,4921875
129,998;2289;130;130;1800,82261897203;-3,4921875
130,999;2170;131;131;1735,06404584299;-3,4921875
131,999;2224;132;132;1706,54869293884;-3,4921875
132,999;2261;133;133;1716,82127890487;-3,4921875
133,999;2151;134;134;1765,26251575127;-3,4921875
134,999;2056;135;135;1680,2504471518;-3,10416666666667
135,999;2027;136;136;1643,84615523317;-3,4921875
136,999;2017;137;137;1804,58148257307;-3,4921875
137,999;1919;138;138;1777,0984512542;-3,4921875
138,998;1908;139;139;1791,7200101474;-3,4921875
139,998;1804;140;140;1738,93377281269;-3,4921875
140,999;1790;141;141;1741,9066052239;-3,4921875
141,999;1774;142;142;1649,79652509524;-3,4921875
142,998;1702;143;143;1774,41562878865;-3,4921875
143,998;1728;144;144;1850,11193177187;-3,4921875
144,998;1651;145;145;1689,33759195977;-3,4921875
145,999;1587;146;146;1734,74138359952;-3,4921875
146,998;1584;147;147;1795,16062021911;-3,4921875
147,999;1509;148;148;1802,29864088479;-3,4921875
148,999;1561;149;149;1733,69555865813;-3,4921875
149,999;1560;150;150;1690,21905105639;-3,4921875
150,999;1533;151;151;1761,47506982633;-3,4921875
151,999;1442;152;152;1779,74531844493;-3,4921875
152,999;1377;153;153;1724,21569849511;-3,4921875
153,999;1377;154;154;1720,54248704617;-2,71614583333333
154,998;1428;155;155;1745,88948519559;-3,4921875
155,999;1330;156;156;1787,01214235323;-3,4921875
157;1380;157;157;1769,44253757865;-3,4921875
157,999;1377;158;158;1722,75870293277;-3,4921875
158,999;1322;159;159;1740,46249875324;-3,4921875
159,998;1314;160;160;1752,18390069448;-3,4921875
160,998;1314;161;161;1754,12825529381;-3,4921875
161,998;1186;162;162;1722,54358939517;-3,4921875
162,999;1271;163;163;1885,69088088703;-3,4921875
163,998;1281;164;164;1774,11950448992;-3,4921875
164,998;1292;165;165;1763,78694386704;-3,4921875
165,999;1352;166;166;1784,37061377648;-3,4921875
166,999;1231;167;167;1726,6697752058;-3,4921875
167,999;1254;168;168;1790,90257045624;-3,4921875
168,999;1236;169;169;1749,2106382158;-3,10416666666667
169,998;1176;170;170;1802,92279942699;-3,4921875
170,999;1196;171;171;1677,10627006868;-3,4921875
171,999;1146;172;172;1786,46175095457;-3,10416666666667
172,998;1198;173;173;1686,95304517791;-3,4921875
173,999;1191;174;174;1774,53413477457;-3,4921875
174,998;1193;175;175;1737,67852947205;-3,4921875
175,998;1187;176;176;1754,95261627936;-3,4921875
176,999;1181;177;177;1777,60918666827;-3,4921875
177,998;1137;178;178;1739,6646313183;-3,4921875
178,999;1190;179;179;1718,47893619156;-3,4921875
179,998;1165;180;180;1783,5420184194;-3,4921875
180,999;1109;181;181;1777,09149358883;-3,4921875
181,999;1143;182;182;1681,59917374018;-3,4921875
182,999;1157;183;183;1740,58977704698;-3,4921875
183,998;1209;184;184;1778,72838927541;-3,4921875
184,999;1151;185;185;1747,15978309022;-3,4921875
185,999;1041;186;186;1778,73462200338;-3,4921875
186,999;1123;187;187;1679,76177196359;-3,4921875
187,999;1162;188;188;1895,69754395558;-3,4921875
188,999;1120;189;189;1790,572018815;-3,4921875
189,999;1098;190;190;1833,49282986207;-3,4921875
190,999;1148;191;191;1761,10439215841;-3,10416666666667
191,999;1061;192;192;1709,06917004417;-3,4921875
192,998;1101;193;193;1723,13922964976;-3,4921875
193,999;1083;194;194;1672,60314069253;-3,10416666666667
194,999;1086;195;195;1710,80772787403;-3,4921875
195,999;1124;196;196;1734,5587624534;-3,10416666666667
196,999;1081;197;197;1753,6261985566;-3,4921875
197,998;1097;198;198;1776,93021424787;-3,4921875
198,999;1055;199;199;1778,99842388735;-3,10416666666667
199,998;1125;200;200;1748,69430824984;-3,4921875
200,999;1050;201;201;1779,47191595211;-3,4921875
201,999;1047;202;202;1580,91209184444;-3,10416666666667
202,999;1075;203;203;1709,14504766616;-3,10416666666667
203,999;1098;204;204;1733,53687637061;-3,4921875
204,999;1065;205;205;1750,97570232346;-3,4921875
205,999;1161;206;206;1573,24575598625;-3,4921875
206,999;1178;207;207;1728,79565635342;-3,4921875
207,998;1108;208;208;1716,4721181994;-3,10416666666667
208,999;1136;209;209;1738,29393367496;-3,4921875
209,999;1115;210;210;1759,35030135629;-3,4921875
210,998;1141;211;211;1710,94914125907;-3,4921875
211,999;1126;212;212;1757,75708863015;-3,4921875
212,998;1105;213;213;1765,76881574237;-3,4921875
213,999;1139;214;214;1769,91698779517;-3,4921875
214,999;1088;215;215;1632,11375442602;-3,10416666666667
215,998;1152;216;216;1769,09294562181;-3,4921875
216,999;1094;217;217;1720,75933252125;-3,4921875
217,998;1014;218;218;1739,04330217822;-3,4921875
218,999;1104;219;219;1759,93195670012;-3,10416666666667
219,999;1041;220;220;1761,29860546181;-3,4921875
220,998;1066;221;221;1741,57938592;-3,4921875
221,999;1073;222;222;1741,53722793892;-3,10416666666667
222,999;1080;223;223;1800,29116882628;-3,4921875
223,998;1066;224;224;1784,81485738974;-3,4921875
224,999;1070;225;225;1764,38975369659;-3,4921875
225,998;1126;226;226;1740,24356528849;-3,4921875
226,999;1102;227;227;1777,01673629402;-3,4921875
227,999;1095;228;228;1754,95133038425;-3,4921875
228,998;1059;229;229;1696,48064037096;-3,4921875
229,998;1137;230;230;1757,56355030948;-3,4921875
230,999;1066;231;231;1721,4003026987;-3,4921875
231,999;1070;232;232;1743,79768102937;-3,4921875
232,999;1027;233;233;1747,20774300064;-3,10416666666667
