Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Spannung U_A / V;Rate R_A / 1/s
0;0;0;0;-3,10416666666667;
0,998;0;1;1;-3,4921875;182,667006406658
1,999;0;2;2;-3,4921875;172,959077882173
2,999;0;3;3;-3,10416666666667;181,948363054565
3,999;0;4;4;-3,10416666666667;187,077936668416
4,999;0;5;5;-2,328125;225,538790505461
5,998;1;6;6;-3,10416666666667;205,31011871475
6,999;5;7;7;-3,4921875;198,022653791594
7,999;14;8;8;-3,4921875;178,177304235445
8,999;36;9;9;-2,71614583333333;193,216887955525
9,998;86;10;10;-3,4921875;185,214441280114
10,998;95;11;11;-3,4921875;179,8428373427
11,998;101;12;12;-3,4921875;198,860230920055
12,999;102;13;13;-3,4921875;188,702680057302
13,998;117;14;14;-3,4921875;185,320103414628
14,999;118;15;15;-3,4921875;177,757039456508
15,999;97;16;16;-3,4921875;163,040075250497
16,999;103;17;17;-3,10416666666667;193,134447770895
17,998;123;18;18;-3,4921875;154,221045023833
18,998;120;19;19;-3,4921875;194,415627728068
19,999;124;20;20;-3,4921875;198,055673449807
20,998;135;21;21;-2,71614583333333;186,525901786119
21,999;119;22;22;-3,4921875;181,058246437879
22,999;135;23;23;-3,4921875;198,001128606433
23,998;153;24;24;-3,4921875;188,748921077858
24,999;146;25;25;-3,4921875;206,26833447632
25,999;152;26;26;-3,4921875;175,9947905542
26,999;138;27;27;-3,4921875;192,714743636469
27,999;151;28;28;-3,4921875;179,218377593097
28,999;155;29;29;-3,4921875;170,044483636919
29,999;153;30;30;-3,4921875;181,927410963026
30,998;168;31;31;-3,10416666666667;211,085804268577
31,999;168;32;32;-3,4921875;206,000329600527
32,999;165;33;33;-3,4921875;202,06474154319
33,999;171;34;34;-3,4921875;211,020637818379
34,999;170;35;35;-3,4921875;201,0257868327
35,999;150;36;36;-3,4921875;189,962691327423
36,998;169;37;37;-3,4921875;182,038501142992
37,999;186;38;38;-3,4921875;186,021392460133
38,999;182;39;39;-3,4921875;174,913330444765
39,999;167;40;40;-3,4921875;176,655262588048
40,999;148;41;41;-3,4921875;209,96843474531
41,998;177;42;42;-2,328125;183,170788443144
42,998;172;43;43;-3,10416666666667;184,206102215522
43,999;183;44;44;-3,4921875;157,773219884759
44,999;206;45;45;-3,4921875;204,334638838025
45,998;214;46;46;-3,10416666666667;194,358063083074
46,998;186;47;47;-3,4921875;173,309743951518
47,999;191;48;48;-3,10416666666667;175,350843187847
48,999;203;49;49;-3,10416666666667;186,163861430831
49,999;178;50;50;-3,4921875;199,977869115818
50,999;214;51;51;-3,4921875;185,146006140442
51,999;216;52;52;-3,4921875;177,589670851974
52,999;180;53;53;-3,4921875;191,887994977332
53,998;196;54;54;-3,4921875;188,10266643534
54,998;187;55;55;-3,4921875;209,080495990957
55,998;205;56;56;-3,4921875;190,172867136227
56,999;217;57;57;-3,4921875;190,959489276625
57,999;208;58;58;-3,4921875;190,928943684509
58,999;200;59;59;-3,10416666666667;153,295435295163
59,999;229;60;60;-3,10416666666667;171,258549031473
60,998;231;61;61;-3,4921875;179,891345627241
61,999;202;62;62;-3,4921875;169,069825838071
62,999;184;63;63;-3,4921875;169,944156350223
63,999;199;64;64;-3,10416666666667;179,898257541013
64,998;220;65;65;-3,4921875;197,18324238715
65,998;217;66;66;-2,71614583333333;186,439976370953
66,998;227;67;67;-2,328125;194,444012346639
67,998;187;68;68;-3,4921875;195,447863782611
68,998;198;69;69;-3,4921875;196,540574968903
69,999;214;70;70;-3,4921875;192,266789396967
70,999;232;71;71;-3,10416666666667;189,91892572082
71,999;207;72;72;-3,10416666666667;177,668945678053
72,998;223;73;73;-3,4921875;173,119157916394
73,998;202;74;74;-3,4921875;189,71159621562
74,998;207;75;75;-3,4921875;208,322274558742
75,999;193;76;76;-3,4921875;180,836701463124
76,999;224;77;77;-3,4921875;191,173643019955
77,999;232;78;78;-3,4921875;204,923645449705
78,999;240;79;79;-3,4921875;217,748357555246
79,999;236;80;80;-3,4921875;180,9844220157
80,999;224;81;81;-3,4921875;189,980685296995
81,999;228;82;82;-3,4921875;213,146593234705
82,999;222;83;83;-3,4921875;188,16021842599
83,999;238;84;84;-3,4921875;173,278461820424
84,999;225;85;85;-3,4921875;185,510765011959
85,999;208;86;86;-3,4921875;202,988226682852
86,999;212;87;87;-3,4921875;205,455521544954
87,999;239;88;88;-3,4921875;191,244352909713
88,999;220;89;89;-3,4921875;163,198984302811
89,999;214;90;90;-3,4921875;168,7998001055
